Street_bounding,Name_bounding,Address_bounding,Rating_bounding,Place ID,Latitude_bounding,Longitude_bounding,flag
liberty ave,Madan-Khetarpal Suneeta MD,"4401 Penn Avenue, Pittsburgh",3.0,ChIJ6XMqTE_yNIgRKHcOB_Di6Uo,40.4661227,-79.9533866,bounding_only
liberty ave,"Dr. Kristin M. Farrell, MD","4401 Penn Avenue, Pittsburgh",,ChIJ6XMqTE_yNIgRKtPGY4vZ7tY,40.4661227,-79.9533866,bounding_only
liberty ave,"Dr. Noorjahan Ali, MD","4401 Penn Avenue, Pittsburgh",,ChIJ6XMqTE_yNIgRLOqrxdsKtYA,40.466019,-79.953125,bounding_only
liberty ave,"Dr. Kendra S. Woods, MD","4401 Penn Avenue, Pittsburgh",,ChIJ6XMqTE_yNIgRNe1h17FZnsk,40.4661227,-79.9533866,bounding_only
liberty ave,"Dr. Kimberly B. Horner, MD","4401 Penn Avenue, Pittsburgh",,ChIJ6XMqTE_yNIgRRQ0PTCPiBQs,40.4661227,-79.9533866,bounding_only
liberty ave,"Dr. Jamie L. Bell, MD","4401 Penn Avenue, Pittsburgh",,ChIJ6XMqTE_yNIgRV3kSXewfv2w,40.4661227,-79.9533866,bounding_only
liberty ave,"Dr. Christopher R. Deskins, MD","4401 Penn Avenue, Pittsburgh",,ChIJ6XMqTE_yNIgRWY-vuzsrzCc,40.466019,-79.953125,bounding_only
liberty ave,"Dr. Katie E. Rau, MD","4401 Penn Avenue, Pittsburgh",,ChIJ6XMqTE_yNIgRYEa6tY1f8JQ,40.4661227,-79.9533866,bounding_only
liberty ave,"Dr. Sonia Singh, MD","4401 Penn Avenue, Pittsburgh",,ChIJ6XMqTE_yNIgR_svemNQEY0o,40.4661227,-79.9533866,bounding_only
liberty ave,"Dr. Katrina Kerns, MD","4401 Penn Avenue, Pittsburgh",,ChIJ6XMqTE_yNIgRaRa8XBFRZhw,40.4660999,-79.95351959999999,bounding_only
liberty ave,"Dr. Gerard Vockley, MD","4401 Penn Avenue, Pittsburgh",5.0,ChIJ6XMqTE_yNIgRddI4EcJ8C_k,40.4661227,-79.9533866,bounding_only
liberty ave,"Stephen A. Mendelson, MD","4401 Penn Avenue, Pittsburgh",4.0,ChIJ6XMqTE_yNIgRfVwzSLYqGyY,40.4661227,-79.9533866,bounding_only
liberty ave,"Dr. Andre D. Furtado, MD","4401 Penn Avenue, Pittsburgh",,ChIJ6XMqTE_yNIgRgI9_DcpsSco,40.4661227,-79.9533866,bounding_only
liberty ave,"Dr. Erin M. Kaiser, MD","4401 Penn Avenue, Pittsburgh",,ChIJ6XMqTE_yNIgRg_TjCGUNP0I,40.4660999,-79.95351959999999,bounding_only
liberty ave,Vitale Melissa A MD,"4401 Penn Avenue # 2400, Pittsburgh",,ChIJ6XMqTE_yNIgRggMCI4Lzi6c,40.4660311,-79.95402519999999,bounding_only
liberty ave,Mahmood Burhanuddin MD,"4401 Penn Avenue, Pittsburgh",,ChIJ6XMqTE_yNIgRgt-gKzA1TtM,40.4661227,-79.9533866,bounding_only
liberty ave,Gorham Laura M MD,"4401 Penn Avenue, Pittsburgh",,ChIJ6XMqTE_yNIgRnCzrstoUSBs,40.4661227,-79.9533866,bounding_only
liberty ave,Hearing Center,"4401 Penn Avenue, Pittsburgh",,ChIJ6XMqTE_yNIgRniJy3FvIq8k,40.46624379999999,-79.9532741,bounding_only
liberty ave,"Benjamin Miller, MD","4401 Penn Avenue, Pittsburgh",,ChIJ6XMqTE_yNIgRoGBZ-E4-ifE,40.4661227,-79.9533866,bounding_only
liberty ave,"Dr. Victoria S. Winkeller, MD","4401 Penn Avenue, Pittsburgh",5.0,ChIJ6XMqTE_yNIgRoLVFkiqBS3o,40.4661227,-79.9533866,bounding_only
liberty ave,"Veena Venkat, MD","4401 Penn Avenue, Pittsburgh",,ChIJ6XMqTE_yNIgRpriwJwYF7oc,40.4661227,-79.9533866,bounding_only
liberty ave,"Dr. Vincent F. Deeney, MD","4400 Penn Avenue, Pittsburgh",,ChIJ6XMqTE_yNIgRsC5gFlHkuis,40.46578559999999,-79.953301,bounding_only
liberty ave,"Dr. Victor L. Scott, MD","4401 Penn Avenue, Pittsburgh",,ChIJ6XMqTE_yNIgRuQcJARlPlKk,40.4661227,-79.9533866,bounding_only
liberty ave,Keljo David J MD,"4401 Penn Avenue, Pittsburgh",,ChIJ6XMqTE_yNIgRy6OxlmLAmkQ,40.4660999,-79.95351959999999,bounding_only
liberty ave,Children's Hospital of Pittsburgh of UPMC -Mc Lendon Patricia Dr,"4401 Penn Avenue, Pittsburgh",,ChIJ6XMqTE_yNIgRz-z6klN0ifc,40.4660999,-79.95351959999999,bounding_only
penn ave,Our Lady of the Angels Parish,"333 45th Street, Pittsburgh",4.4,ChIJ6YTkSk7yNIgRuQKmmFEvJjs,40.4699635,-79.9558283,consolidated
butler st,Rogue Tattoo,"4319 Butler Street. (rear entrance On, Eden Way, Pittsburgh",4.8,ChIJ6daqElLyNIgRfU6xVXeOaAk,40.4712982,-79.9603424,consolidated
Charlotte,MT Troy Rd + Baun,United States,,ChIJ6yiUVJ7zNIgRfz4WIomnwGc,40.481491,-79.989209,broad_filled
liberty ave,Wai Wai - Bloomfield,"4717 Liberty Avenue, Pittsburgh",3.9,ChIJ7-YJEEfyNIgRO0lw1eHhKwM,40.462008,-79.949185,consolidated
penn ave,Epistemix,"3706 Butler Street, Pittsburgh",,ChIJ70vuaXbxNIgRXZyEIjBNzAw,40.4663569,-79.9644283,bounding_only
liberty ave,KeyMe Locksmiths,"4401 Liberty Avenue, Pittsburgh",5.0,ChIJ72QzBpHzNIgRX0jVS0TZ8fQ,40.46418070000001,-79.9522332,bounding_only
butler st,Mauney Doty L,"145 44th Street, Pittsburgh",3.7,ChIJ73MZ9lLyNIgRfdh9L2Bp-Rk,40.47284570000001,-79.9612628,bounding_only
butler st,Cornell William F,"145 44th Street, Pittsburgh",5.0,ChIJ73MZ9lLyNIgRnfxNd1l-Nlc,40.47284570000001,-79.9612628,consolidated
butler st,O'Hara Terry,"145 44th Street, Pittsburgh",5.0,ChIJ73MZ9lLyNIgRuH0d_AouLBc,40.47284570000001,-79.9612628,consolidated
51st St,MT Troy Rd + Alfred,United States,,ChIJ73ZH1bzzNIgRI1qm-BPDwws,40.473092,-79.983485,broad_filled
44th St,Grant Bar Inc,"114 Grant Avenue, Pittsburgh",4.5,ChIJ75smXqnzNIgR1Vqf98Bd5vQ,40.4782667,-79.9697429,broad_filled
penn ave,FedEx Drop Box,"449 44th Street, Pittsburgh",,ChIJ76O60YXzNIgRHLHaF4zGcbE,40.4675479,-79.9537849,bounding_only
penn ave,Dr. Emil Nutrition,"3700 Butler Street, Pittsburgh",4.9,ChIJ78U0kQrzNIgRl_MfelOHRmY,40.4662644,-79.9644211,bounding_only
penn ave,"Amy Letteri, PhD","4117 Penn Avenue, Pittsburgh",,ChIJ79iIshXzNIgReoAtt4MhMMs,40.4659347,-79.95472459999999,bounding_only
penn ave,CDC Hauling LLC,"4407 Davison Street, Pittsburgh",5.0,ChIJ7Q1oLY3zNIgR5gZoe7Udol4,40.4702443,-79.95772939999999,consolidated
44th St,Lowrie St at Heckleman St,United States,,ChIJ7RJOwbvzNIgRHBQDGWKAzfs,40.468698,-79.9790915,broad_filled
penn ave,Coinhub Bitcoin ATM Teller,"3939 Butler Street, Pittsburgh",,ChIJ7V8YnGLzNIgRdUKZT29l3S4,40.4690468,-79.96329089999999,consolidated
liberty ave,Froggy's Bar,"4602 Liberty Avenue, Pittsburgh",4.3,ChIJ7VpHEHHzNIgRYmA5WPouG68,40.46249189999999,-79.9508676,bounding_only
45th St,Millvale Community Library,"213 Grant Avenue, Millvale",4.7,ChIJ7ZfwEKnzNIgRMhgYM2mQZ9M,40.4788536,-79.9716107,broad_filled
penn ave,Studio 725 Hair Boutique,"First floor, 3538 Butler Street, Pittsburgh",4.5,ChIJ7_blwbTzNIgRy1heacfI8F4,40.4649929,-79.9653896,bounding_only
37th St,Washington's Landing Public Tennis Courts,Pittsburgh,,ChIJ7ayVlbDzNIgRaKnouxL7vq4,40.4686111,-79.9740851,broad_filled
mccandless ave,Somers Creative Group,"143 Howard Street, Pittsburgh",,ChIJ7bnFL5fzNIgRkMyauF5kvqA,40.4809712,-79.9752638,consolidated
liberty ave,Mooney William E MD,"4416 Penn Avenue, Pittsburgh",,ChIJ7cAjVk_yNIgR32EEe5gxiRM,40.46582009999999,-79.9528495,bounding_only
liberty ave,Kenny Amy G,"4416 Penn Avenue, Pittsburgh",,ChIJ7cAjVk_yNIgR4HOn9zwoM9Q,40.46587089999999,-79.95286,bounding_only
liberty ave,"Claudia J. Warner, MSW","4416 Penn Avenue, Pittsburgh",,ChIJ7cAjVk_yNIgRN0GCA9xZuOs,40.46587089999999,-79.95286,bounding_only
liberty ave,Shepherd Wellness Community,"4800 Sciota Street, Pittsburgh",4.5,ChIJ7dBnqjjyNIgRc50b6sPU6IQ,40.4596193,-79.9473668,bounding_only
butler st,Fancypants Popcorn,"4323 Butler Street, Pittsburgh",4.8,ChIJ7fDNYLTzNIgRwuhPnVkljpg,40.4713449,-79.96019129999999,bounding_only
penn ave,Pittsburgh Fire Bureau Station 6,"3958 Penn Avenue, Pittsburgh",5.0,ChIJ7fEjXEnyNIgRRa01PU_r0LY,40.46488489999999,-79.958049,consolidated
34th St,PeopleReady,"19 35th Street, Pittsburgh",3.6,ChIJ7fruEhz0NIgRm3CUHDkE7K8,40.4659911,-79.970692,broad_filled
liberty ave,Mitchell Joan,"4727 Friendship Avenue # 240, Pittsburgh",,ChIJ7yG670XyNIgR1NJJT_zfXYM,40.4632342,-79.94816809999999,consolidated
liberty ave,Zieger Deborah B,"4727 Friendship Avenue # 240, Pittsburgh",,ChIJ7yG670XyNIgR1uTYM4YK1zk,40.4632342,-79.94816809999999,consolidated
liberty ave,Woznick Shannon,"4727 Friendship Avenue # 240, Pittsburgh",,ChIJ7yG670XyNIgRJu-3stSQsuE,40.4632342,-79.94816809999999,consolidated
liberty ave,Aiello Natalie,"4727 Friendship Avenue # 240, Pittsburgh",,ChIJ7yG670XyNIgRO5-1hrGuJy8,40.4632342,-79.94816809999999,consolidated
liberty ave,Chandler Erynn M,"4727 Friendship Avenue # 240, Pittsburgh",,ChIJ7yG670XyNIgRRyZbQ7yyny0,40.4632342,-79.94816809999999,consolidated
liberty ave,"Sherie L. Scarnati, CRNP","4727 Friendship Avenue, Pittsburgh",,ChIJ7yG670XyNIgRSHvOzwGUU14,40.4632342,-79.94816809999999,consolidated
liberty ave,"Dr. Mohit Jhamb, MD","4727 Friendship Avenue, Pittsburgh",,ChIJ7yG670XyNIgRUYYCAstcPFM,40.4632342,-79.94816809999999,consolidated
liberty ave,"Dr. Lawrence Collins, DO","4727 Friendship Avenue, Pittsburgh",,ChIJ7yG670XyNIgRVBf3r04jYMg,40.4632342,-79.94816809999999,consolidated
liberty ave,Armanious Christina D MD,"4727 Friendship Avenue Suite 200, Pittsburgh",,ChIJ7yG670XyNIgRbFxgQsXTrvQ,40.4632342,-79.94816809999999,consolidated
liberty ave,Slater Ashleigh E,"4727 Friendship Avenue # 240, Pittsburgh",,ChIJ7yG670XyNIgRbTSlxiv7zhc,40.4632342,-79.94816809999999,consolidated
liberty ave,Pegram Cora S,"4727 Friendship Avenue # 240, Pittsburgh",,ChIJ7yG670XyNIgReWfl_EeDHRY,40.4632342,-79.94816809999999,consolidated
liberty ave,"Mary T. Hurley, CRNP","4727 Friendship Avenue, Pittsburgh",,ChIJ7yG670XyNIgRno37WdQl_9Y,40.4632342,-79.94816809999999,consolidated
liberty ave,Casper Christina M,"4727 Friendship Avenue # 240, Pittsburgh",,ChIJ7yG670XyNIgRqxLdajRPiW8,40.4632342,-79.94816809999999,consolidated
liberty ave,Morrison Suzanne R,"4727 Friendship Avenue # 240, Pittsburgh",,ChIJ7yG670XyNIgRs1oXinBlEbY,40.4632342,-79.94816809999999,consolidated
liberty ave,"Dr. Anthony X. Baroni, DO","4727 Friendship Avenue, Pittsburgh",1.0,ChIJ7yG670XyNIgRsLptZJqtqI8,40.4632342,-79.94816809999999,consolidated
liberty ave,"Dr. Dmitri V. Vassiliev, MD","4727 Friendship Avenue, Pittsburgh",,ChIJ7yG670XyNIgRtHvQcjNLl0c,40.4632342,-79.94816809999999,consolidated
butler st,Stone + Sparrow Studio,"100 43rd Street Suite 205, Pittsburgh",5.0,ChIJ7ygcK5ztNIgRa2fBDfPLrfc,40.4729243,-79.96394649999999,consolidated
liberty ave,Friendship Ave + Ella St,United States,,ChIJ8-LSZEbyNIgRI-FJIWMqHdI,40.46461499999999,-79.950508,bounding_only
penn ave,Kickback Pinball Cafe,"basement, 4112 Butler Street, Pittsburgh",4.6,ChIJ81YsC1LyNIgRRnRiwcOybnk,40.4698275,-79.9606481,consolidated
liberty ave,Bloomfield Automotive & Auto Sales Inc.,"3959 Neville Street, Pittsburgh",,ChIJ83_N6UnyNIgRo-Mu1uGrpQk,40.461537,-79.957078,bounding_only
mccandless ave,McGrath Medical,"141 Howard Street, Pittsburgh",,ChIJ84JIssXzNIgRr5drUFb-zMI,40.4809356,-79.975306,consolidated
43rd St,East Ohio St at Grant Ave,United States,,ChIJ868r4avzNIgRZmaD19OrfxQ,40.47802599999999,-79.9692915,broad_filled
Plummer St,Fox's Pizza Den,"401 Grant Avenue, Pittsburgh",4.2,ChIJ87dkzcTzNIgRQ_0EH32O5gc,40.4797981,-79.9732545,broad_filled
penn ave,Rite Aid,"3939 Butler Street, Pittsburgh",3.1,ChIJ88KVJ7HzNIgRoogo6Ut5SIM,40.46900900000001,-79.96321999999999,consolidated
52nd st,"Dr. George R. Sitterle, DDS","820 Stanton Avenue, Pittsburgh",2.2,ChIJ88Tjp53zNIgRKm3jvdErm34,40.4805543,-79.9793942,consolidated
liberty ave,Clothes Minded,"4740 Liberty Avenue, Pittsburgh",4.3,ChIJ8TC8akfyNIgRPWW81WSS_ak,40.4612565,-79.9486541,consolidated
penn ave,New Bethel Baptist Church,"221 43rd Street, Pittsburgh",4.6,ChIJ8Txz7U3yNIgR-pdl4uUpMa0,40.47046030000001,-79.9596712,consolidated
liberty ave,It's Kleen Time Car Wash,"4060 Woolslayer Way, Pittsburgh",4.5,ChIJ8VwofHDzNIgRcHWO53dg6Qw,40.4650492,-79.9554612,bounding_only
51st St,MT Troy Rd + Alfred,United States,,ChIJ8X6w1LzzNIgRRRxwIkEDo6M,40.473098,-79.983389,broad_filled
penn ave,Bill Ballon Automotive Independent BMW Automobile Specialists,"164 39th Street, Pittsburgh",4.1,ChIJ8XWOJLPzNIgRUNvRF44Bk6c,40.4684204,-79.96502129999999,consolidated
penn ave,T's Upholstery Studio,"3611 Butler Street, Pittsburgh",4.2,ChIJ8_Q_vbTzNIgRr9aQH9cEWzk,40.46576789999999,-79.9652691,consolidated
penn ave,CLP Lawrenceville,"279 Fisk Street, Pittsburgh",,ChIJ8_dLNJnzNIgRrT09SSVh0_4,40.4675773,-79.9590953,consolidated
penn ave,PrintWithMe Print Kiosk at Ineffable CaPhe,"3920 Penn Avenue, Pittsburgh",,ChIJ8dlF5W3zNIgR04T3ZkuSXNg,40.4646759,-79.9593124,bounding_only
liberty ave,White Whale Bookstore,"4754 Liberty Avenue, Pittsburgh",4.8,ChIJ8z0fR0fyNIgRujuROd2LhKo,40.461023,-79.9482606,bounding_only
penn ave,Round Corner Cantina,"3720 Butler Street, Pittsburgh",4.3,ChIJ8zAcVLPzNIgRhsHbKaVgfnM,40.466703,-79.964259,consolidated
37th St,Attorney General Env Crimes,"400 Waterfront Drive, Pittsburgh",,ChIJ8zTv4LnzNIgR42Zewll5EWI,40.4659736,-79.9756268,broad_filled
38th St,Pennsylvania Department of Environmental Protection - Southwest Regional Office,"400 Waterfront Drive, Pittsburgh",3.2,ChIJ8zTv4LnzNIgRnzu54KHqkKA,40.4661882,-79.9757107,broad_filled
34th St,Strip Self Storage,"116 34th Street, Pittsburgh",4.3,ChIJ9-5o2bXzNIgRy3pEJuw9mFs,40.4632423,-79.9694943,broad_filled
liberty ave,Salon DeMarzano,"4764 Liberty Avenue, Pittsburgh",4.5,ChIJ9-KJo0fyNIgRVS_VLbjdOaA,40.460884,-79.947964,bounding_only
liberty ave,Friendship Ave + Pearl St,United States,,ChIJ902R6UbyNIgR5a9cezpnNCs,40.46349,-79.94881199999999,bounding_only
liberty ave,APTEKA,"4606 Penn Avenue, Pittsburgh",4.7,ChIJ9Q1kJUTyNIgRuvW9f60WFmI,40.46575,-79.94929719999999,bounding_only
52nd st,Northern Area (Millvale) Boys & Girls Club of Western PA,"100 Howard Street, Millvale",5.0,ChIJ9QjhKKbzNIgRKt8aAG977OQ,40.48033039999999,-79.9764486,consolidated
liberty ave,ATM,"4617 Liberty Avenue, Pittsburgh",,ChIJ9RuVqkfyNIgR7To62HqnQAg,40.4625621,-79.9501715,consolidated
liberty ave,Lot 17,"1922, 4617 Liberty Avenue, Pittsburgh",4.5,ChIJ9RuVqkfyNIgRkMqRFmij0AE,40.4624552,-79.9502692,consolidated
39th St,Three Rivers Boat Rental,"101A Bridge Street, Millvale",4.4,ChIJ9TRXUVzzNIgRoC6daXW6keY,40.4759885,-79.9685157,broad_filled
penn ave,Brian - Realtor,"4020 Butler Street, Pittsburgh",4.7,ChIJ9TaBEUpZNIgRYexuCz19uKY,40.4691015,-79.9614952,consolidated
penn ave,MJ Eclectic,"4112 Butler Street, Pittsburgh",5.0,ChIJ9Um_jKTzNIgRCXpOFt5xOrM,40.4698416,-79.9606687,consolidated
liberty ave,Albanese Real Estate Inc,"4020 Liberty Avenue, Pittsburgh",,ChIJ9Xx9pUnyNIgRUwJLk9eKPkc,40.4628352,-79.9564335,bounding_only
34th St,Charlotte Dumpster Rental Pittsburgh,"3410 Charlotte Street, Pittsburgh",,ChIJ9YA93pzzNIgRSskQihezNr0,40.4632478,-79.9677706,broad_filled
butler st,Banh Mi & Ti,"4502 Butler Street, Pittsburgh",4.7,ChIJ9b8gGVLyNIgRZyoRQ5by93c,40.4721765,-79.95905599999999,consolidated
penn ave,Ineffable Cà Phê,"3920 Penn Avenue, Pittsburgh",4.6,ChIJ9buawkvyNIgRtuSs0OqiK6I,40.4647613,-79.9593081,consolidated
liberty ave,"Dr. Raj A. Narayan, MD","340 Pearl Street, Pittsburgh",2.2,ChIJ9c0JmkfyNIgRPRu2YRSMDiE,40.461142,-79.9509063,consolidated
liberty ave,Hammer-Mann Designwerks,"431 Dargan Street, Pittsburgh",5.0,ChIJ9eOYxW3yNIgRucjj5X3Zf3s,40.4613826,-79.9540572,consolidated
Penn Ave,Byham House,"3501 Liberty Avenue, Pittsburgh",5.0,ChIJ9fqUT7XzNIgRRWe82b_5ChY,40.4619632,-79.9646154,broad_filled
penn ave,Geppetto Cafe,"4121 Butler Street, Pittsburgh",4.7,ChIJ9y_Onk3yNIgRg1Zzijr0ge4,40.47008049999999,-79.9609069,consolidated
penn ave,Parklet,"3526 Butler Street, Pittsburgh",3.2,ChIJ9yfu6LTzNIgRWizDxMf70Ek,40.46475040000001,-79.9656509,bounding_only
penn ave,The Laundry Club,"3824 Penn Avenue, Pittsburgh",4.5,ChIJ9zdNC8_zNIgRr-Nlc7gcLi0,40.4646096,-79.9605157,consolidated
liberty ave,Baby Loves Tacos,"4508 Liberty Avenue, Pittsburgh",4.7,ChIJA0IuNUbyNIgRuikoLdVougk,40.4628172,-79.95158440000002,bounding_only
liberty ave,Pittsburgh,Pittsburgh,,ChIJA4UGSG_xNIgRNBuiWqEV-Y0,40.44062479999999,-79.9958864,consolidated
41st St,Look Out Street Parklet,Pittsburgh,3.8,ChIJA5qjRLrzNIgR2Rih9fdDh5o,40.46934299999999,-79.9770565,broad_filled
penn ave,Rite Aid Pharmacy,"3939 Butler Street, Pittsburgh",3.0,ChIJA94FKyHzNIgRhU5XowX1Nns,40.4689933,-79.9633365,consolidated
penn ave,Mobile PGH First Impression,"4106 Penn Avenue, Pittsburgh",,ChIJAQA1M0_yNIgRTUR-gI0Z_bo,40.46558719999999,-79.9546917,bounding_only
penn ave,Studio Capezzuti,"3583 Butler Street, Pittsburgh",,ChIJAQAw67TzNIgR_x0ubdVxZco,40.4652356,-79.9656509,bounding_only
liberty ave,PITTSBURGH YOGA BOUTIQUE,"626 Edmond Street, Pittsburgh",,ChIJAQBPiTjyNIgRhVxcxTUJjS8,40.4592056,-79.9497308,bounding_only
Plummer St,"Code.sys Code Consulting, Inc.","321 Grant Avenue, Pittsburgh",3.5,ChIJASojxkvyNIgR4r0gpoytEmM,40.47971889999999,-79.9728868,broad_filled
penn ave,The Traveling Photo Booth,"256 37th Street, Pittsburgh",5.0,ChIJAVe4kU7yNIgRvwBXImt-j9I,40.4648932,-79.96332919999999,consolidated
34th St,Oak's Auto/Truck Service LLC,"19 35th Street, Pittsburgh",3.4,ChIJAVlEGJ7zNIgRsgeTUVp4YXk,40.4661674,-79.9709243,broad_filled
Penn Ave,Palate Partners School of Wine & Spirits,"3401 Liberty Avenue, Pittsburgh",4.0,ChIJAXOSXbXzNIgRi1dLM_0UyOs,40.4619066,-79.9655698,broad_filled
butler st,Headstorm,"181 42nd Street, Pittsburgh",5.0,ChIJAZdYfPrzNIgRKzs16Wh6qqQ,40.47066969999999,-79.9611625,bounding_only
penn ave,Jovie of Pittsburgh,"3706 Butler Street, Pittsburgh",5.0,ChIJA_D0dbuLNIgR0SCo0jyS84I,40.4663709,-79.9643997,consolidated
penn ave,Detailed auto creations,"4100 Davison Street, Pittsburgh",4.8,ChIJAdxeJ1tnNIgRl6xj76b7H70,40.4690402,-79.9589185,consolidated
penn ave,Cheryl Neusch,"4111 Penn Avenue, Pittsburgh",,ChIJAfYoMk_yNIgR4EqlLbUKHAE,40.4658925,-79.9548051,bounding_only
penn ave,Megan Eberhart,"4111 Penn Avenue, Pittsburgh",,ChIJAfYoMk_yNIgRCS0abE8Lqf8,40.4658925,-79.9548051,bounding_only
penn ave,Elisha Dubich,"4111 Penn Avenue, Pittsburgh",,ChIJAfYoMk_yNIgRDUivOOo9ABc,40.4658925,-79.9548051,bounding_only
penn ave,Alayna Gradisek,"4111 Penn Avenue, Pittsburgh",,ChIJAfYoMk_yNIgRK9hzVvGLaW0,40.4658925,-79.9548051,bounding_only
penn ave,Adam Christian Tripp,"4111 Penn Avenue, Pittsburgh",,ChIJAfYoMk_yNIgRgZG4F0xw-aU,40.4658925,-79.9548051,bounding_only
penn ave,Allison Pavlov,"4111 Penn Avenue, Pittsburgh",,ChIJAfYoMk_yNIgRjVb7kAWt8XM,40.4658925,-79.9548051,bounding_only
liberty ave,dradamtripp,"4111 Penn Avenue, Pittsburgh",,ChIJAfYoMk_yNIgRvSdyxo2XJho,40.4658925,-79.9548051,bounding_only
penn ave,Diane Hranicky,"4111 Penn Avenue, Pittsburgh",,ChIJAfYoMk_yNIgRveX0VWvE3k4,40.4658925,-79.9548051,bounding_only
penn ave,Dr. Michael Marcsisin,"4111 Penn Avenue, Pittsburgh",,ChIJAfYoMk_yNIgRwwWVhOujBUA,40.4658925,-79.9548051,bounding_only
48th St,Avanti Insurance Group,"226 Grant Avenue, Millvale",5.0,ChIJAfoBBqnzNIgRBIrEE7hT4l4,40.47939209999999,-79.9717746,broad_filled
penn ave,Central Atlantic States Association of Food and Drug Officials,"3901 Penn Avenue, Pittsburgh",,ChIJB-Hl-kvyNIgRxFD5V4_SC-A,40.46544279999999,-79.9590078,consolidated
penn ave,One Point One Yoga Annex,"3702 Penn Avenue, Pittsburgh",5.0,ChIJB-khxGTzNIgR60GmWF3BQLI,40.4643146,-79.9622894,consolidated
penn ave,Sochats Laverne L,"4106 Butler Street, Pittsburgh",,ChIJB0UroU3yNIgRm0ztZyahI2s,40.46959689999999,-79.9608578,consolidated
penn ave,Field Day,"3706 Butler Street, Pittsburgh",4.8,ChIJB0uhKaHzNIgRFQoE7SpNQZA,40.4663709,-79.9643997,bounding_only
liberty ave,"Dr. Peter H. Shaw, MD","4401 Penn Avenue, Pittsburgh",,ChIJB4nS8UXyNIgRACa9W7gg8C4,40.4661227,-79.9533866,bounding_only
liberty ave,Goyal Rakesh K MD,"4401 Penn Avenue, Pittsburgh",,ChIJB4nS8UXyNIgRD7lirdi4JmU,40.466019,-79.953125,bounding_only
liberty ave,Adams Richard J MD,"4401 Penn Avenue, Pittsburgh",,ChIJB4nS8UXyNIgRFEkAPdjObSk,40.4661227,-79.9533866,bounding_only
liberty ave,Schultz Brian R MD,"4401 Penn Avenue, Pittsburgh",,ChIJB4nS8UXyNIgRXlwcOylF1QY,40.4661227,-79.9533866,bounding_only
liberty ave,"Jean M. Tersak, MD","4401 Penn Avenue, Pittsburgh",5.0,ChIJB4nS8UXyNIgRYYl5MdKYCEE,40.4661227,-79.9533866,bounding_only
liberty ave,Cohen Debra E MD,"4401 Penn Avenue, Pittsburgh",,ChIJB4nS8UXyNIgRYfgp-XKpLPI,40.4661227,-79.9533866,bounding_only
liberty ave,"Dr. Regina I. Jakacki, MD","4401 Penn Avenue, Pittsburgh",,ChIJB4nS8UXyNIgRcDTinwK5fLc,40.4661227,-79.9533866,bounding_only
liberty ave,"Dr. Lakshmanan Krishnamurti, MD","4401 Penn Avenue, Pittsburgh",,ChIJB4nS8UXyNIgRlG2c7FvpN34,40.466019,-79.953125,bounding_only
liberty ave,Kolls Jay K,"3520 Penn Avenue, Pittsburgh",,ChIJB4nS8UXyNIgRw-NKRky1NbU,40.4660312,-79.9535037,bounding_only
49th St,Mt Troy United Church of Christ,"2023 East Homestead Street, Pittsburgh",3.0,ChIJB5c_y7zzNIgRC-Nvwsd2vtc,40.472973,-79.98246999999999,broad_filled
butler st,Iron City Rinzai Pittsburgh Zen Practice Group,"137 41st Street, Pittsburgh",,ChIJB8TY2U3vNIgR5MrkX9FSv_U,40.4710408,-79.96323629999999,consolidated
penn ave,TRYP by Wyndham Pittsburgh/Lawrenceville Boutique Hotel,"177 40th Street, Pittsburgh",3.9,ChIJBUcjPU3yNIgREZC19k0yqNw,40.4695202,-79.9627999,consolidated
penn ave,"Richard D. Bruehlman, MD","3937 Butler Street, Pittsburgh",,ChIJBV9jWw3zNIgRJ7Ae87YJu4k,40.4689045,-79.9634657,consolidated
Liberty Ave,Radish Studio,"3635 Bethoven Street, Pittsburgh",5.0,ChIJBZ0xazbyNIgR9bDTTm88Xio,40.4593934,-79.95738039999999,broad_filled
liberty ave,uBreakiFix - Phone and Computer Repair,"4718 Liberty Avenue, Pittsburgh",4.2,ChIJB_HjEUfyNIgRD5tY2m91LgE,40.4615752,-79.9494414,consolidated
penn ave,Vanity you BOUTIQUE,"4072 Butler Street, Pittsburgh",,ChIJBa1zp03yNIgRiMcUK0CDzcg,40.4694806,-79.9611625,consolidated
liberty ave,Axel Rimorin House 2,"Bloomfield Homes, Block 3 Lot 17 Section 2, Pittsburgh",,ChIJBcLyDgDzNIgR3yNYwNtI6Jo,40.462472,-79.950266,bounding_only
penn ave,Butler St + 43rd,United States,,ChIJBfs6jk3yNIgRILnEPo2oMkU,40.470478,-79.96037299999999,consolidated
34th St,Pittsburgh Tire,"3301 Smallman Street, Pittsburgh",4.4,ChIJBxjV3LXzNIgRqDDOEmbiDdc,40.46285090000001,-79.969315,broad_filled
liberty ave,"Dr. Michael J. Burkitt, MD","4727 Friendship Avenue, Pittsburgh",,ChIJBz2E0EbyNIgR1JGpqiZthoA,40.46316929999999,-79.9479092,consolidated
liberty ave,"Dr. Mohammad A. Rana, MD","4727 Friendship Avenue, Pittsburgh",,ChIJBz2E0EbyNIgRY9MU7rdBVaw,40.4632342,-79.94816809999999,consolidated
